Launch,Launch Date,Artifact,Artifact status,Link to artifact,Artifact due date,Artifact Owner,Reviewer,Review Start Date,Reviewer Due Date,Approval status,Status Detail,Comments
HAX,12/15/25,Social blog announcment,ready to publish,https://cisco-my.sharepoint.com/:w:/p/mscibell/IQBB9iBmD7baS4rOmG9j-_VDAe9Mj9Byxr0Vm-b4F2DUcDE?e=HYOfRh&wdLOR=c7FCB8E18-4855-EB47-BD24-CF1B0CC7C06B,15-Dec-25,Leah,Vijoy,12/9/25,12/11/25,Approved,Vijoy to review blog announcement by 12/11,"This blog post introduces the launch of HAX, highlighting its purpose, key features, and impact. Hosted on Outshift, it provides readers with an in-depth look at the campaign’s goals, innovative elements, and how it aligns with our broader vision.
Owned Social: This social post highlights the announcement blog, the purpose is to generate engagement, spark curiosity, and encourage clicks to the full blog on Outshift."
HAX,12/15/25,HAX Youtube video,ready to publish,,15-Dec-25,Leah,,,,n/a,,
HAX,12/15/25,Arxiv research paper,ready to publish,,15-Dec-25,Marc,Ramana,12/5/25,12/11/25,Approved,Ramana to review arXviv paper by 12/11,
HAX,12/15/25,Exec social blog post,ready to publish,https://cisco-my.sharepoint.com/:w:/p/krygonza/EepgS9kbL1NAnrd_osiuQsgBRYs9fwDOp1OE9v0LDAngnA?e=KAJ1dt&wdLOR=c211A38C9-FB13-534E-9980-9F7F44746395,15-Dec-25,Rebecca,,,,n/a,,"Leverage Vijoy to promote the announcement. Will publish ahead of the webinar on Dec 18, 2025"
HAX,12/15/25,Redding social post,ready to publish,,17-Dec-25,Leah,,,,n/a,,
HAX,12/15/25,HAX webinar,ready to publish,,18-Dec-25,Leah,,,,n/a,,
HAX,12/15/25,Social post on demo,ready to publish,,19-Dec-25,Leah,,,,n/a,,
Collective Intelligence Vision Launch,1/22/26,Internal Messaging house,in progress,https://cisco-eti.atlassian.net/wiki/spaces/Marketing/pages/1934196761/Scaling+Superintelligence+Message+House,15-Dec-25,Leah,Vijoy,12/12/25,12/14/25,pending,,
Collective Intelligence Vision Launch,1/22/26,OSI Stack arXiv research paper,in progress,,16-Dec-25,Ramana,,,,n/a,Follow up with Ramana on publication date,
Collective Intelligence Vision Launch,1/22/26,Messaging guide for interviews,in progress,,19-Dec-25,Rebecca,,,,n/a,,"include “about” info for each key talking points, get positioning aligned for AXIOS (questions drafted)"
Collective Intelligence Vision Launch,1/22/26,OSI Stack Research paper,in progress,,15-Jan-26,Ramana,,,,n/a,Ramana will have a draft before shut down,
Collective Intelligence Vision Launch,1/22/26,,,,,,,,,,,
Collective Intelligence Vision Launch,1/22/26,Pitch deck & talk track,in progress,,15-Jan-26,Leah,,,,n/a,,"Review must include Papi, as host of webinar.Dependency for final, approved deck on Jan 15, 2025 is to deliver webinar deck for recording on Jan 16, 2026"
Collective Intelligence Vision Launch,1/22/26,Whitepaper,in progress,,22-Jan-26,Leah,Vijoy,1/10/25,01/13/26,Review pending,,
Collective Intelligence Vision Launch,1/22/26,Outshift Blog,Pending,,22-Jan-26,Leah,,,,n/a,,
Collective Intelligence Vision Launch,1/22/26,"Outshift, Vijoy, Ammar social post",Pending,,22-Jan-26,Leah,,,,n/a,,
Collective Intelligence Vision Launch,1/22/26,Landing page,Pending,,22-Jan-26,Leah,,,,n/a,,
Collective Intelligence Vision Launch,1/22/26,Hivemind Demo ,Pending,,27-Jan-26,Sabitha,,,,n/a,,
Collective Intelligence Vision Launch,1/22/26,SDS Podcast Interview with Vijoy ,Pending,,27-Jan-26,Vijoy ,,,,n/a,,"Vijoy is currently set to record on Jan 6, 2026"
Collective Intelligence Vision Launch,1/22/26,VB SF Keynote Deck,Pending,,27-Jan-26,Leah,,,,n/a,,"Vijoy- to provide speaker requests, if he has any (asap). dependencies -keynote deck needs the pitch deck"
Collective Intelligence Vision Launch,1/22/26,Intro 101: Webinar deck,Pending,,29-Jan-26,Leah,,,,,,"Host: Papi. Vijoy approval deadlines:
Confirm speakers: Dec 15, 2025(Papi)
Final webinar title, abstract: Dec 17, 2025(Vijoy approval deadline)
Final slides due: Jan 15, 2026(Vijoy approval deadline)"
Collective Intelligence Vision Launch,1/22/26,CLEU Pitch deck & talk track,Pending,,9-Feb-26,Leah,,,,,,
Collective Intelligence Vision Launch,1/22/26,VB podcast interview with Vijoy,Pending,,18-Feb-26,Leah,,,,,Prep call: 1st week Jan (WIP),Recording: 2nd week Jan (WIP)
Qunnect Launch,1/26/26,Exec social blog post,Pending,,26-Jan-26,Rebecca,,,,,,"Leverage ELT & SLT leadership, to promote the announcement. Vijoy definitely, Ammar maybe"
Qunnect Launch,1/26/26,Qunnect Press Release,Pending,,26-Jan-26,TBA,,,,,,
Qunnect Launch,1/26/26,Internal PR announcment,Pending,,26-Jan-26,Rebecca,,,,,,Internal PR announcement is shared via email if applicable. Spokesperson email.
Qunnect Launch,1/26/26,Social blog announcment,Pending,,26-Jan-26,Michelle,,,,,,Tier 3_Qunnect NY Testbed Co-Marketing Launch Plan